Regency/Municipality 17,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Asal di Sumatera Selatan (Perjalanan),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
South Sumatera,525126,479964,522737,477298,562828,556537,472079,445658,529710,607190,550029,805750,6534906
Ogan Komering Ulu,19380,17643,19229,17266,20900,20865,17736,15689,18502,21464,18803,26745,234222
Ogan Komering Ilir,41648,39341,42897,39165,47743,43618,36880,34325,41711,47825,43938,67382,526473
Muara Enim,50772,44346,47884,45750,55842,50672,46154,41689,51641,57430,50183,76136,618499
Lahat,23718,20956,22079,19179,21847,24409,19916,19917,23942,26223,22923,36500,281609
Musi Rawas,21197,17536,18686,17235,22400,21989,18114,17649,20335,23669,20319,31559,250688
Musi Banyuasin,25675,23213,24785,22988,29641,27207,24397,21719,24652,28471,26341,37757,316846
Banyuasin,48971,47203,51745,46362,57689,54529,49623,44422,50107,57417,51178,78568,637814
Ogan Komering Ulu Selatan,8945,8436,9103,8574,9824,10287,8607,8294,9504,10410,8822,13038,113844
Ogan Komering Ulu Timur,49377,42054,45038,40502,50492,49747,39946,37447,47027,52213,47854,65975,567672
Ogan Ilir,29378,26048,28072,25593,29335,28003,25538,24016,27121,31302,29772,44504,348682
Empat Lawang,14794,12270,13383,11762,13886,15613,13372,12443,14064,15296,13366,19659,169908
Pali,11809,10787,11673,10935,13515,12501,11160,10289,13009,13591,12581,17756,149606
Musi Rawas Utara,13824,13015,13025,11633,15550,14101,12676,11980,13109,14617,12923,21015,167468
Palembang,106455,103787,117440,108522,116208,122885,98292,98015,117024,140058,131047,181576,1441309
Prabumulih,21889,19635,21369,20085,23149,22475,18930,17186,20535,25270,22149,32535,265207
Pagar Alam,12187,10847,11639,10199,10063,11777,10112,9467,12297,13281,11959,18612,142440
Lubuk Linggau,25107,22847,24690,21548,24744,25859,20626,21111,25130,28653,25871,36433,302619